date_day,close,high,last,low,open,max_volume,avg_volume
2020-11-27,273.96,276.58,276.495,275.2,275.2,44128.0,20682.0
2020-11-28,273.96,276.58,275.99,274.36,275.24,1625328.0,1625328.0
2020-11-30,275.99,276.89,276.89,275.28,275.28,152855.0,83013.5
2020-12-01,277.41,279.11,279.11,279.11,279.11,4624131.0,38889.0
2020-12-02,277.41,278.95,276.6,275.55,278.73,3792148.0,92426.5
2020-12-03,275.07798972854,274.11,271.67,271.01,273.97,4168645.0,93862.0
2020-12-04,271.1,271.93,268.58,268.115,270.63,4168929.0,90048.0
2020-12-05,268.14,268.73,263.99,262.82,267.47,7732829.0,7732829.0
2020-12-07,263.99,264.58,264.58,264.25,264.25,262187.0,114467.0
2020-12-08,263.99,264.5,262.64,262.23,263.5,6378989.0,111578.0
2020-12-09,262.64,265.77,265.685,262.62,262.62,5338142.0,64255.0
2020-12-10,265.58,266.06,266.03,263.69,264.61,4550125.0,76126.0
2020-12-11,265.58,266.07,265.22,264.28,264.28,4234320.0,111163.0
2020-12-12,264.81,265.3618,264.55,262.646,263.36,3454512.0,3454512.0
2020-12-14,264.55,268.57,268.39,265.52,265.52,125272.0,70352.5
2020-12-15,265.58,268.73,268.73,267.09,267.09,4576775.0,68447.0
2020-12-16,267.98,270.73,270.555,268.52,268.52,3756037.0,57201.5
2020-12-17,269.59,274.31,274.275,270.51,270.51,4669578.0,56651.0
2020-12-18,273.97,274.825,274.71,274.66,274.795,4247048.0,47389.0
2020-12-19,273.97,275.74,270.45,270.3,274.59,9817032.0,9817032.0
2020-12-21,270.45,271.93,271.88,266.97,266.97,108725.0,66528.0
2020-12-22,270.99,271.95,271.84,271.84,271.84,4339037.0,31845.0
2020-12-23,270.99,271.36,270.91,270.385,270.385,3143451.0,29322.5
2020-12-24,270.04,271.34,271.34,269.94,270.06,2337149.0,19985.0
2020-12-25,269.81,271.36,270.92,269.4,269.44,1093947.0,1093947.0
2020-12-28,270.92,272.22,272.21,272.21,272.21,79079.0,41603.5
2020-12-29,270.92,272.25,270.195,269.83,272.17,2596103.0,42194.0
2020-12-30,269.25,270.46,267.265,266.0,269.98,2572074.0,35944.5
2020-12-31,266.19,267.3,265.63,265.36,266.11,2511385.0,35751.0
2021-01-01,265.26,265.95,265.62,263.58,265.57,2608139.0,2608139.0
2021-01-04,265.62,266.46,266.46,266.46,266.46,138220.0,63916.0
2021-01-05,265.62,266.5,266.42,263.45,266.01,5001983.0,70611.0
2021-01-06,266.05,269.74,269.74,263.33,264.44,3822639.0,64977.0
2021-01-07,267.57,269.77,268.735,266.54,266.54,3949198.0,51080.0
2021-01-08,267.57,270.71,270.71,267.28,267.28,3833249.0,97906.0
2021-01-09,266.26,270.7325,269.09,267.0,267.35,3757709.0,3757709.0
2021-01-11,269.09,273.31,273.31,267.93,267.93,110804.0,55950.0
2021-01-12,271.23,277.92,277.85,270.785,270.98,3765227.0,78384.0
2021-01-13,276.33,280.42,280.42,278.43,278.43,4023541.0,70378.0
2021-01-14,276.33,280.48,274.89,274.81,278.31,3921418.0,66941.0
2021-01-15,274.05,276.35,276.32,267.8,274.5,4641421.0,158795.0
2021-01-16,268.34,276.39,275.59,268.0,268.63,5131741.0,5131741.0
2021-01-19,275.59,277.99,277.16,276.78,277.88,193352.0,131844.5
2021-01-20,275.59,278.0,277.2,273.02,278.0,3615794.0,60742.0
2021-01-21,274.3,280.68,280.55,275.67,275.9,3498412.0,150757.0
2021-01-22,279.05,285.08,285.05,279.27,279.425,4401230.0,84010.0
2021-01-23,279.05,285.08,284.0,277.87,279.26,4501941.0,4501941.0
2021-01-25,284.0,285.67,285.26,283.36,283.96,129891.0,87351.0
2021-01-26,285.08,285.77,285.58,285.08,285.28,4025905.0,76089.0
2021-01-27,285.08,285.65,282.6,281.695,285.42,2472211.0,76806.5
2021-01-28,282.6,282.94,282.81,275.58,279.99,4336987.0,89392.0
2021-01-29,278.05,282.96,278.05,277.53,277.53,3462967.0,63743.5
2021-01-30,278.05,277.06,270.82,270.03,275.81,4079485.0,4079485.0
2021-02-01,270.82,272.35,272.32,271.4,271.59,128166.0,73188.0
2021-02-02,270.82,275.69,275.59,270.13,271.23,3707825.0,89620.0
2021-02-03,272.16,275.69,275.585,271.49,272.1,4028972.0,67539.0
